22	[(5, 0.58478871750500161), (12, 0.07825635242520379), (14, 0.07134992851252156), (19, 0.03272125456427509), (32, 0.074655625506251863), (41, 0.14314740146923016)]
23	[(26, 0.21660034633708827), (28, 0.033620387103635817), (29, 0.015502974355818678), (35, 0.4720943146308697), (48, 0.24588329765323311)]
24	[(15, 0.088794619607550376), (24, 0.21896050208609763), (33, 0.025490489905369194), (43, 0.63367651495920541)]
25	[(0, 0.092858901114124495), (18, 0.032663343638709263), (19, 0.023859216016226713), (27, 0.020060081231113566), (31, 0.087190087032942912), (32, 0.65601086968501043), (37, 0.068053144754093547)]
26	[(8, 0.18334471092860669), (9, 0.216114872175204), (28, 0.56893354144028496)]
27	[(9, 0.8379196975941372)]
28	[(5, 0.018928281195309378), (11, 0.016693022986970361), (14, 0.19571607157852969), (25, 0.010751035082262895), (30, 0.097842265319635163), (32, 0.20349816599731388), (49, 0.45465023868565801)]
29	[(26, 0.2980774443106079), (41, 0.60012928287137357), (48, 0.06888307386763759)]
30	[(20, 0.70976233793211185), (48, 0.23595125378750598)]
31	[(30, 0.95374555780361947)]
32	[(2, 0.19123277498068592), (12, 0.73806269566381055)]
33	[(9, 0.23968064150517798), (10, 0.1008446794775384), (12, 0.36381399356623384), (30, 0.29030278380529029)]
34	[(7, 0.090240003598744761), (20, 0.093858990198046152), (24, 0.24216170432057227), (27, 0.37721018117405619), (48, 0.09956432655058714)]
35	[(8, 0.025665387708780407), (17, 0.1435108511735107), (31, 0.15870605494963008), (48, 0.63912705164325778)]
36	[(1, 0.020758743735269092), (5, 0.50690135347863996), (12, 0.45756251828893418)]
37	[(5, 0.026698193730087385), (9, 0.017464773009279271), (12, 0.30203554498043311), (16, 0.019699444199072352), (17, 0.018809685197626023), (22, 0.13450448762189504), (26, 0.30697487936074136), (28, 0.031665176844967086), (47, 0.0566215566822647), (49, 0.037295013660436346)]
38	[(33, 0.89550479418178652)]
39	[(8, 0.2812337950497561), (19, 0.40220315298477466), (26, 0.1727826400134769), (30, 0.010600714590303741), (34, 0.037404808976570982), (35, 0.028508431543715174), (44, 0.022331483788004407), (47, 0.010249189866156362), (48, 0.023132227416141772)]
40	[(6, 0.26471544390275509), (17, 0.17342967503863468), (35, 0.051714352797179279), (38, 0.19112973543454073), (39, 0.094988636465118653), (44, 0.21080825778389534)]
41	[(1, 0.52841980459186544), (2, 0.03119337852248389), (4, 0.059388434884402666), (9, 0.29613064864258071), (14, 0.010129727591697847), (26, 0.014571508654173884), (29, 0.010084586372198685), (35, 0.013248412738937457)]
42	[(6, 0.129402171368559), (9, 0.0923003114841877), (12, 0.50896600705943607), (17, 0.01142342238159638), (26, 0.10903029173288421), (28, 0.067666934654362534), (44, 0.0134694724196502), (46, 0.025630324990992864), (48, 0.021107184159639764)]
43	[(2, 0.095526288615781052), (3, 0.25290514996960078), (16, 0.30054094989842062), (43, 0.26110256281262806)]
44	[(9, 0.085942036718219858), (18, 0.42588059411322338), (19, 0.24980235778190785), (24, 0.098843506627353223), (35, 0.069002302020047285)]
45	[(9, 0.036971142465170533), (12, 0.24144211942677435), (13, 0.01607629250626506), (16, 0.41467572871199782), (21, 0.016942169225776505), (26, 0.064591450887196644), (27, 0.014704667575407457), (28, 0.048683327718005764), (30, 0.057508772770655039), (35, 0.029019822295914762), (46, 0.03535527324625258)]
46	[(5, 0.085700789300791377), (9, 0.10461439710452033), (12, 0.38422936650293527), (18, 0.38211028830112526), (27, 0.026544985443409889), (48, 0.010523041092750108)]
47	[(5, 0.066104671504713552), (10, 0.047315013137803903), (12, 0.57440267861865968), (27, 0.010867795350098091), (32, 0.27034606895837404), (44, 0.010785798121843477), (45, 0.01267446273941592)]
48	[(9, 0.44291227490195567), (12, 0.37275201512311357), (13, 0.043124311377162466), (16, 0.032619140474575363), (47, 0.065023486855863802), (48, 0.033736683003531734)]
49	[(5, 0.2211954283256527), (16, 0.77188659247499003)]
50	[(26, 0.93569624181711009)]
51	[(12, 0.093834969333949303), (16, 0.32215207616546232), (20, 0.015180924726587481), (24, 0.51963159869523146), (43, 0.031350164843510206)]
52	[(24, 0.83184848498277331), (43, 0.11671742277802173)]
53	[(3, 0.12789803506808403), (12, 0.062476825212273282), (15, 0.047872453612626757), (20, 0.023991365934354043), (46, 0.71890227641842319)]
54	[(5, 0.97169383574163826)]
55	[(10, 0.86789535059318934), (19, 0.065326871937395559)]
56	[(3, 0.054970066722487859), (9, 0.067116345149796988), (12, 0.15850717806285905), (44, 0.69574777804729038)]
57	[(12, 0.10009852756446351), (28, 0.051475660950512654), (34, 0.063047111324016594), (35, 0.45602935002228789), (48, 0.28976379255266127)]
58	[(1, 0.087209767023071691), (12, 0.695113881396064), (47, 0.074533748750135423), (48, 0.075414784758743358)]
59	[(12, 0.83979418298221298), (43, 0.1008627969332016)]
60	[(12, 0.92323001066127197)]
61	[(12, 0.54673371389662895), (27, 0.033721801041413479), (37, 0.056366426624016801), (44, 0.1406928302462393), (48, 0.18288994189040558)]
